#               time [ns]          Re(ampl) [Vpcm]          Im(ampl) [Vpcm]
  8.87882510928883900E-02  4.23748035280047109E-06  5.94855942788089689E-07
  9.20169147689934158E-02  4.54794341641268721E-06  6.61975353605545369E-07
  9.52455784450984555E-02  4.86901268350197951E-06  7.33944113574242503E-07
  9.84742421212034813E-02  5.20063764141529886E-06  8.10928101672149459E-07
  1.01702905797308507E-01  5.54276606999022487E-06  8.93092756305044255E-07
  1.04931569473413547E-01  5.89534404503252153E-06  9.80603060630305448E-07
  1.08160233149518573E-01  6.25831594190776435E-06  1.07362352790646743E-06
  1.11388896825623612E-01  6.63162443924686478E-06  1.17231818686938010E-06
  1.14617560501728652E-01  7.01521052276520705E-06  1.27685056713577890E-06
  1.17846224177833664E-01  7.40901348919534511E-06  1.38738368463512600E-06
  1.21074887853938704E-01  7.81297095033296469E-06  1.50408002707053349E-06
  1.24303551530043743E-01  8.22701883719591512E-06  1.62710153940958599E-06
  1.27532215206148769E-01  8.65109140429610303E-06  1.75660960940590588E-06
  1.30760878882253795E-01  9.08512123402410338E-06  1.89276505315228559E-06
  1.33989542558358848E-01  9.52903924114611244E-06  2.03572810066618349E-06
  1.37218206234463846E-01  9.98277467741315037E-06  2.18565838150842962E-06
  1.40446869910568900E-01  1.04462551362822722E-05  2.34271491043596459E-06
  1.43675533586673926E-01  1.09194065577493683E-05  2.50705607308938347E-06
  1.46904197262778952E-01  1.14021532332936180E-05  2.67883961171617386E-06
  1.50132860938884005E-01  1.18944178109330475E-05  2.85822261093038827E-06
  1.53361524614989031E-01  1.23961213003910789E-05  3.04536148350961254E-06
  1.56590188291094057E-01  1.29071830783738453E-05  3.24041195623002248E-06
  1.59818851967199083E-01  1.34275208939578842E-05  3.44352905574034257E-06
  1.63047515643304136E-01  1.39570508740879814E-05  3.65486709447549360E-06
  1.66276179319409162E-01  1.44956875291849843E-05  3.87457965661077770E-06
  1.69504842995514188E-01  1.50433437588631208E-05  4.10281958405736003E-06
  1.72733506671619241E-01  1.55999308577566638E-05  4.33973896249986529E-06
  1.75962170347724239E-01  1.61653585214556182E-05  4.58548910747690237E-06
  1.79190834023829293E-01  1.67395348525500634E-05  4.84022055050528062E-06
  1.82419497699934319E-01  1.73223663667829783E-05  5.10408302524875549E-06
  1.85648161376039345E-01  1.79137579993110366E-05  5.37722545373204299E-06
  1.88876825052144370E-01  1.85136131110732843E-05  5.65979593260096868E-06
  1.92105488728249424E-01  1.91218334952671784E-05  5.95194171942945075E-06
  1.95334152404354450E-01  1.97383193839317397E-05  6.25380921907417620E-06
