#             freq. [MHz]    Abs(ampl) [arb.units]
 -1.53964601769911504E+05  9.11658934712628545E-24
 -1.53955752212389372E+05  1.09917577772390650E-23
 -1.53946902654867241E+05  1.12310110535406394E-23
 -1.53938053097345139E+05  9.76226350066228102E-24
 -1.53929203539823007E+05  7.02783187914690768E-24
 -1.53920353982300876E+05  3.85096954140109857E-24
 -1.53911504424778745E+05  1.18834742438834723E-24
 -1.53902654867256642E+05  1.58290122806039356E-25
 -1.53893805309734511E+05  2.16557074539722920E-25
 -1.53884955752212380E+05  2.19999428372761394E-24
 -1.53876106194690248E+05  5.19487531117734077E-24
 -1.53867256637168146E+05  8.29939454678841729E-24
 -1.53858407079646015E+05  1.05787633399077648E-23
 -1.53849557522123883E+05  1.13466308192441369E-23
 -1.53840707964601781E+05  1.03717571532870613E-23
 -1.53831858407079650E+05  7.94770288021889950E-24
 -1.53823008849557518E+05  4.80438282472461066E-24
 -1.53814159292035387E+05  1.88821202298963839E-24
 -1.53805309734513285E+05  7.73217537119946250E-26
 -1.53796460176991153E+05  8.29633877868566682E-26
 -1.53787610619469022E+05  1.45562599358325946E-24
 -1.53778761061946891E+05  4.22985994497731050E-24
 -1.53769911504424788E+05  7.40436769442801215E-24
 -1.53761061946902657E+05  1.00232953571056890E-23
 -1.53752212389380526E+05  1.12980484296195785E-23
 -1.53743362831858394E+05  1.08448329598264907E-23
 -1.53734513274336292E+05  8.80004012188527152E-24
 -1.53725663716814161E+05  5.77933589440096356E-24
 -1.53716814159292029E+05  2.69228231178520588E-24
 -1.53707964601769898E+05  4.68490132883719515E-25
 -1.53699115044247796E+05  2.22327524524176847E-25
 -1.53690265486725664E+05  8.27675275349617672E-25
 -1.53681415929203533E+05  3.30243855541228240E-24
 -1.53672566371681402E+05  6.45680914397295453E-24
 -1.53663716814159299E+05  9.34105435204024724E-24
 -1.53654867256637168E+05  1.10865711347506065E-23
 -1.53646017699115037E+05  1.11678732953961121E-23
 -1.53637168141592905E+05  9.56042166277653354E-24
 -1.53628318584070803E+05  6.74822516726742279E-24
 -1.53619469026548672E+05  3.57804481861603990E-24
 -1.53610619469026540E+05  1.00442329077565511E-24
 -1.53601769911504409E+05  1.97574348360655405E-25
 -1.53592920353982307E+05  3.33929421822969006E-25
 -1.53584070796460175E+05  2.43898609707569453E-24
 -1.53575221238938044E+05  5.48363427451810720E-24
 -1.53566371681415912E+05  8.55139357899883427E-24
 -1.53557522123893810E+05  1.07182494164430882E-23
 -1.53548672566371679E+05  1.13318604497844353E-23
 -1.53539823008849547E+05  1.02074249489070990E-23
 -1.53530973451327416E+05  7.68350374275543673E-24
 -1.53522123893805314E+05  4.52009952302057651E-24
 -1.53513274336283182E+05  1.66968272465468122E-24
 -1.53504424778761051E+05  9.36594460310808368E-27
 -1.53495575221238949E+05  1.15193593588552207E-26
 -1.53486725663716818E+05  1.66396476061098946E-24
 -1.53477876106194686E+05  4.51259007423346096E-24
 -1.53469026548672555E+05  7.67663826443135332E-24
 -1.53460176991150453E+05  1.02034029321573874E-23
 -1.53451327433628321E+05  1.13320536271768133E-23
 -1.53442477876106190E+05  1.07226902900916546E-23
 -1.53433628318584058E+05  8.55879292098398481E-24
 -1.53424778761061956E+05  5.49187225453436913E-24
 -1.53415929203539825E+05  2.44550517559064344E-24
 -1.53407079646017693E+05  3.36957549939800548E-25
 -1.53398230088495562E+05  1.98882890661663378E-25
 -1.53389380530973460E+05  9.99380348912479194E-25
 -1.53380530973451328E+05  3.57112629207827710E-24
 -1.53371681415929197E+05  6.74173433771967495E-24
 -1.53362831858407066E+05  9.55672494661553785E-24
 -1.53353982300884963E+05  1.11684132867102879E-23
 -1.53345132743362832E+05  1.10914973138302853E-23
 -1.53336283185840701E+05  9.34911524843636378E-24
 -1.53327433628318569E+05  6.46586737043264766E-24
 -1.53318584070796467E+05  3.30995416700896395E-24
 -1.53309734513274336E+05  8.31639669232148929E-25
 -1.53300884955752204E+05  2.22815333705375191E-25
 -1.53292035398230073E+05  4.64207862309313913E-25
 -1.53283185840707971E+05  2.68582188640115153E-24
 -1.53274336283185839E+05  5.77313821248390657E-24
 -1.53265486725663708E+05  8.79650647278898474E-24
 -1.53256637168141577E+05  1.08456571879132054E-23
 -1.53247787610619474E+05  1.13034302931656655E-23
 -1.53238938053097343E+05  1.00321277731135961E-23
 -1.53230088495575212E+05  7.41424170044058246E-24
 -1.53221238938053080E+05  4.23862481713507121E-24
 -1.53212389380530978E+05  1.46070791780038609E-24
 -1.53203539823008847E+05  8.26875132299930863E-26
 -1.53194690265486715E+05  7.35820792073328662E-26
 -1.53185840707964613E+05  1.88199381847382008E-24
 -1.53176991150442482E+05  4.79830605638055938E-24
 -1.53168141592920350E+05  7.94428892948978367E-24
 -1.53159292035398219E+05  1.03727936071352134E-23
 -1.53150442477876117E+05  1.13525066566070851E-23
 -1.53141592920353985E+05  1.05883358318169851E-23
 -1.53132743362831854E+05  8.31045439934142780E-24
 -1.53123893805309723E+05  5.20470258903287305E-24
 -1.53115044247787620E+05  2.20630434611716139E-24
